algorithm	dataset	psi	beta	purity
IKSHC	seeds	15	0.700000	0.827166
IKSHC	seeds	15	0.800000	0.832185
IKSHC	seeds	15	0.900000	0.827811
IKSHC	seeds	17	0.400000	0.748718
IKSHC	seeds	17	0.500000	0.830453
IKSHC	seeds	17	0.600000	0.795168
IKSHC	seeds	17	0.700000	0.816017
IKSHC	seeds	17	0.800000	0.846416
IKSHC	seeds	17	0.900000	0.822204
IKSHC	seeds	21	0.400000	0.713461
IKSHC	seeds	21	0.500000	0.812314
IKSHC	seeds	21	0.600000	0.821319
IKSHC	seeds	21	0.700000	0.809522
IKSHC	seeds	21	0.800000	0.788049
IKSHC	seeds	21	0.900000	0.695228
IKSHC	seeds	25	0.400000	0.647252
IKSHC	seeds	25	0.500000	0.673628
IKSHC	seeds	25	0.600000	0.653299
IKSHC	seeds	25	0.700000	0.862461
IKSHC	seeds	25	0.800000	0.748676
IKSHC	seeds	25	0.900000	0.630546
IKSHC	seeds	3	0.400000	0.783684
IKSHC	seeds	3	0.500000	0.782880
IKSHC	seeds	3	0.600000	0.777094
IKSHC	seeds	3	0.700000	0.801457
IKSHC	seeds	3	0.800000	0.762003
IKSHC	seeds	3	0.900000	0.802635
IKSHC	seeds	5	0.400000	0.790715
IKSHC	seeds	5	0.500000	0.837788
IKSHC	seeds	5	0.600000	0.799078
IKSHC	seeds	5	0.700000	0.820714
IKSHC	seeds	5	0.800000	0.742550
IKSHC	seeds	5	0.900000	0.799076
IKSHC	seeds	7	0.400000	0.811392
IKSHC	seeds	7	0.500000	0.836970
IKSHC	seeds	7	0.600000	0.851779
IKSHC	seeds	7	0.700000	0.853542
IKSHC	seeds	7	0.800000	0.789001
IKSHC	seeds	7	0.900000	0.834861
IKSHC	seeds	13	0.400000	0.830290
IKSHC	seeds	13	0.500000	0.771540
IKSHC	seeds	13	0.600000	0.803178
IKSHC	seeds	13	0.700000	0.781851
IKSHC	seeds	13	0.800000	0.773355
IKSHC	seeds	13	0.900000	0.807754
IKSHC	seeds	15	0.400000	0.807075
IKSHC	seeds	15	0.500000	0.812094
IKSHC	seeds	15	0.600000	0.770693
IKSHC	seeds	15	0.700000	0.788988
IKSHC	seeds	15	0.800000	0.784809
IKSHC	seeds	15	0.900000	0.796415
IKSHC	seeds	17	0.400000	0.786987
IKSHC	seeds	17	0.500000	0.802583
IKSHC	seeds	17	0.600000	0.782667
IKSHC	seeds	17	0.700000	0.752187
IKSHC	seeds	17	0.800000	0.806661
IKSHC	seeds	17	0.900000	0.785195
IKSHC	seeds	21	0.400000	0.769847
IKSHC	seeds	21	0.500000	0.796649
IKSHC	seeds	21	0.600000	0.783878
IKSHC	seeds	21	0.700000	0.773363
IKSHC	seeds	21	0.800000	0.770486
IKSHC	seeds	21	0.900000	0.750876
IKSHC	seeds	25	0.400000	0.727862
IKSHC	seeds	25	0.500000	0.767224
IKSHC	seeds	25	0.600000	0.785503
IKSHC	seeds	25	0.700000	0.805343
IKSHC	seeds	25	0.800000	0.777750
IKSHC	seeds	25	0.900000	0.745563
IKSHC	seeds	3	0.400000	0.841934
IKSHC	seeds	3	0.500000	0.797354
IKSHC	seeds	3	0.600000	0.808896
IKSHC	seeds	3	0.700000	0.775881
IKSHC	seeds	3	0.800000	0.815707
IKSHC	seeds	3	0.900000	0.831953
IKSHC	seeds	5	0.400000	0.803285
IKSHC	seeds	5	0.500000	0.828568
IKSHC	seeds	5	0.600000	0.835002
IKSHC	seeds	5	0.700000	0.825067
IKSHC	seeds	5	0.800000	0.839814
IKSHC	seeds	5	0.900000	0.766570
IKSHC	seeds	7	0.400000	0.773025
IKSHC	seeds	7	0.500000	0.811169
IKSHC	seeds	7	0.600000	0.850740
IKSHC	seeds	7	0.700000	0.840234
IKSHC	seeds	7	0.800000	0.814950
IKSHC	seeds	7	0.900000	0.831025
IKSHC	seeds	13	0.400000	0.849755
IKSHC	seeds	13	0.500000	0.799422
IKSHC	seeds	13	0.600000	0.836065
IKSHC	seeds	13	0.700000	0.852250
