algorithm	dataset	purity
IKSHC	shape	0.6508619999999999
PERCH	shape	0.651652
IKSHC	shape	0.6176550000000001
PERCH	shape	0.616425
IKSHC	shape	0.654208
PERCH	shape	0.705966
IKSHC	wine	0.888193
PERCH	wine	0.651025
IKSHC	wine	0.9422450000000001
PERCH	wine	0.687138
IKSHC	wine	0.9161379999999999
PERCH	wine	0.560366
IKSHC	wine	0.936716
PERCH	wine	0.701788
IKSHC	wine	0.952976
PERCH	wine	0.809103
IKSHC	wine	0.8495510000000001
PERCH	wine	0.6340859999999999
IKSHC	wine	0.959677
PERCH	wine	0.7079300000000001
IKSHC	wine	0.8741979999999999
PERCH	wine	0.66661
IKSHC	wine	0.947433
PERCH	wine	0.743568
IKSHC	wine	0.891048
PERCH	wine	0.770799
IKSHC	Segment	0.6219319999999999
PERCH	Segment	0.625028
IKSHC	Segment	0.62979
PERCH	Segment	0.562404
IKSHC	Segment	0.6048640000000001
PERCH	Segment	0.518305
IKSHC	Segment	0.637686
PERCH	Segment	0.639911
IKSHC	Segment	0.652212
PERCH	Segment	0.564322
IKSHC	Segment	0.654979
PERCH	Segment	0.5356890000000001
IKSHC	Segment	0.611059
PERCH	Segment	0.584831
IKSHC	Segment	0.659197
PERCH	Segment	0.620741
IKSHC	Segment	0.634101
PERCH	Segment	0.49023599999999995
IKSHC	Segment	0.629918
PERCH	Segment	0.5674819999999999
IKSHC	spambase	0.627371
PERCH	spambase	0.59856
IKSHC	spambase	0.628307
PERCH	spambase	0.606587
IKSHC	spambase	0.629522
PERCH	spambase	0.569328
IKSHC	spambase	0.6269140000000001
PERCH	spambase	0.59355
IKSHC	spambase	0.626164
PERCH	spambase	0.611957
IKSHC	spambase	0.634203
PERCH	spambase	0.572221
IKSHC	spambase	0.6260020000000001
PERCH	spambase	0.603693
IKSHC	spambase	0.626366
PERCH	spambase	0.594843
