algorithm	dataset	psi	beta	purity
IKSHC	hard1	25	0.600000	0.938239
IKSHC	hard1	25	0.700000	0.937712
IKSHC	hard1	25	0.800000	0.933072
IKSHC	hard1	25	0.900000	0.946597
IKSHC	hard1	3	0.400000	0.959146
IKSHC	hard1	3	0.500000	0.960756
IKSHC	hard1	3	0.600000	0.956768
IKSHC	hard1	3	0.700000	0.957197
IKSHC	hard1	3	0.800000	0.958332
IKSHC	hard1	3	0.900000	0.958043
IKSHC	hard1	5	0.400000	0.953131
IKSHC	hard1	5	0.500000	0.965630
IKSHC	hard1	5	0.600000	0.947327
IKSHC	hard1	5	0.700000	0.959684
IKSHC	hard1	5	0.800000	0.951227
IKSHC	hard1	5	0.900000	0.955419
IKSHC	hard1	7	0.400000	0.951680
IKSHC	hard1	7	0.500000	0.956778
IKSHC	hard1	7	0.600000	0.954404
IKSHC	hard1	7	0.700000	0.951200
IKSHC	hard1	7	0.800000	0.950264
IKSHC	hard1	7	0.900000	0.947189
IKSHC	hard1	13	0.400000	0.948272
IKSHC	hard1	13	0.500000	0.948151
IKSHC	hard1	13	0.600000	0.945494
IKSHC	hard1	13	0.700000	0.953097
IKSHC	hard1	13	0.800000	0.948186
IKSHC	hard1	13	0.900000	0.952146
IKSHC	hard1	15	0.400000	0.951128
IKSHC	hard1	15	0.500000	0.960858
IKSHC	hard1	15	0.600000	0.946838
IKSHC	hard1	15	0.700000	0.942888
IKSHC	hard1	15	0.800000	0.956351
IKSHC	hard1	15	0.900000	0.945651
IKSHC	hard1	17	0.400000	0.943841
IKSHC	hard1	17	0.500000	0.940777
IKSHC	hard1	17	0.600000	0.938738
IKSHC	hard1	17	0.700000	0.944446
IKSHC	hard1	17	0.800000	0.941454
IKSHC	hard1	17	0.900000	0.945365
IKSHC	hard1	21	0.400000	0.940025
IKSHC	hard1	21	0.500000	0.933523
IKSHC	hard1	21	0.600000	0.938074
IKSHC	hard1	21	0.700000	0.943512
IKSHC	hard1	21	0.800000	0.934337
IKSHC	hard1	21	0.900000	0.932701
IKSHC	hard1	25	0.400000	0.921446
IKSHC	hard1	25	0.500000	0.928664
IKSHC	hard1	25	0.600000	0.914906
IKSHC	hard1	25	0.700000	0.925826
IKSHC	hard1	25	0.800000	0.936980
IKSHC	hard1	25	0.900000	0.937527
IKSHC	hard1	3	0.400000	0.921176
IKSHC	hard1	3	0.500000	0.908615
IKSHC	hard1	3	0.600000	0.818915
IKSHC	hard1	3	0.700000	0.905031
IKSHC	hard1	3	0.800000	0.931165
IKSHC	hard1	3	0.900000	0.932025
IKSHC	hard1	5	0.400000	0.931164
IKSHC	hard1	5	0.500000	0.879575
IKSHC	hard1	5	0.600000	0.936101
